source,target
"أتمنى لك يوماً سعيداً","كنتمنى لك نهار زوين"
"أتمنى لك ليلة سعيدة","كنتمنى لك ليلة سعيدة"
"لا تكن وقحاً","ما تكونش قبيح"
"كن لطيفاً","كون لطيف"
"سأنتقم","غادي ننتقم"
"سامحني","سمح ليا"
"هذا درس لي","هذا درس ليا"
"أنا أتوب","أنا كنتوب"
"أنا أدعو الله","كنطلب الله"
"صلاة العشاء","صلاة العشا"
"صلاة الفجر","صلاة الفجر"
"صيام مقبول","صيام مقبول"
"إفطار شهي","فطور شهي"
"هذا حلال","هذا حلال"
"هذا حرام","هذا حرام"
"أين القاضي؟","فين القاضي؟"
"أين المحكمة؟","فين المحكمة؟"
"لقد حدث للتو","عاد دابا وقع"
"ما زال لم يحدث","مازال ما وقعش"
"سأفعلها لاحقاً","غادي نديرها من بعد"
"هل يمكنك الانتظار؟","واش يمكن ليك تسنا؟"
"الموضوع انتهى","الموضوع سالا"
"فلنتحدث لاحقاً","نهضرو من بعد"
"لا تبتعد","ما تمشيش بعيد"
"أنا أعتني بـ...","كنتهلا فـ..."
"هل أنت مستعد؟","واش نتا مستعد؟"
"أنا مستعد","أنا مستعد"
"أنا لست مستعداً","أنا ما مستعدش"
"لقد بدأت","أنا بديت"
"لقد أنهيت","أنا ساليت"
"الكلمة الأخيرة","الكلمة الأخيرة"
"إلى أين أنت ذاهب؟","فين غادي؟"
